None,ticker,date,close
112,GOOG,2018-01-09,1106.26
113,GOOG,2018-01-08,1106.94
114,GOOG,2018-01-05,1102.23
115,GOOG,2018-01-04,1086.4
116,GOOG,2018-01-03,1082.48
117,GOOG,2018-01-02,1065.0
118,AAPL,2018-03-27,168.34
119,AAPL,2018-03-26,172.77
120,AAPL,2018-03-23,164.94
121,AAPL,2018-03-22,168.845
122,AAPL,2018-03-21,171.27
123,AAPL,2018-03-20,175.24
124,AAPL,2018-03-19,175.3
125,AAPL,2018-03-16,178.02
126,AAPL,2018-03-15,178.65
127,AAPL,2018-03-14,178.44
128,AAPL,2018-03-13,179.97
129,AAPL,2018-03-12,181.72
130,AAPL,2018-03-09,179.98
131,AAPL,2018-03-08,176.94
132,AAPL,2018-03-07,175.03
133,AAPL,2018-03-06,176.67
134,AAPL,2018-03-05,176.82
135,AAPL,2018-03-02,176.21
136,AAPL,2018-03-01,175.0
137,AAPL,2018-02-28,178.12
138,AAPL,2018-02-27,178.39
139,AAPL,2018-02-26,178.97
140,AAPL,2018-02-23,175.555
141,AAPL,2018-02-22,172.6
142,AAPL,2018-02-21,171.07
143,AAPL,2018-02-20,171.85
144,AAPL,2018-02-16,172.43
145,AAPL,2018-02-15,172.99
146,AAPL,2018-02-14,167.37
147,AAPL,2018-02-13,164.34
148,AAPL,2018-02-12,162.71
149,AAPL,2018-02-09,155.97
150,AAPL,2018-02-08,155.32
151,AAPL,2018-02-07,159.54
152,AAPL,2018-02-06,163.03
153,AAPL,2018-02-05,157.49
154,AAPL,2018-02-02,160.37
155,AAPL,2018-02-01,167.78
156,AAPL,2018-01-31,167.43
157,AAPL,2018-01-30,166.97
158,AAPL,2018-01-29,167.96
159,AAPL,2018-01-26,171.51
160,AAPL,2018-01-25,171.11
161,AAPL,2018-01-24,174.22
162,AAPL,2018-01-23,177.04
163,AAPL,2018-01-22,177.0
164,AAPL,2018-01-19,178.46
165,AAPL,2018-01-18,179.26
166,AAPL,2018-01-17,179.1
167,AAPL,2018-01-16,176.19
168,AAPL,2018-01-12,177.09
169,AAPL,2018-01-11,175.28
170,AAPL,2018-01-10,174.29
171,AAPL,2018-01-09,174.33
172,AAPL,2018-01-08,174.35
173,AAPL,2018-01-05,175.0
174,AAPL,2018-01-04,173.03
175,AAPL,2018-01-03,172.23
176,AAPL,2018-01-02,172.26
